S1_time,S1_IBI,S2_time,S2_IBI,S3_time,S3_IBI,S4_time,S4_IBI,S5_time,S5_IBI,S6_time,S6_IBI,S7_time,S7_IBI,S8_time,S8_IBI,S9_time,S9_IBI,S10_time,S10_IBI
154.44457,0.468771,137.365663,0.453146,2463.565894,0.593777,2122.394027,0.796911,899.19741,0.578151,296.326064,0.421894,133.506111,0.390643,5029.105204,0.562526,574.151282,0.375017,1737.329524,0.703157
154.913341,0.468771,137.834435,0.468771,2464.222174,0.65628,2163.364652,0.703157,899.759936,0.562526,296.794836,0.468771,133.928005,0.421894,5101.045997,0.515649,605.277707,0.468771,1738.11081,0.781286
302.279462,0.43752,138.350083,0.515649,2464.862828,0.640654,2164.083435,0.718783,900.416216,0.65628,297.21673,0.421894,134.365525,0.43752,5109.171369,0.703157,605.746478,0.468771,1738.892096,0.781286
302.701356,0.421894,138.787603,0.43752,2465.440979,0.578151,2164.880346,0.796911,901.009993,0.593777,297.669876,0.453146,134.78742,0.421894,5109.812023,0.640654,606.262127,0.515649,1739.689007,0.796911
303.138876,0.43752,139.272,0.484397,2493.332881,0.640654,2165.567878,0.687531,901.60377,0.593777,298.09177,0.421894,135.240565,0.453146,5110.452678,0.640654,606.668395,0.406269,1740.532796,0.843789
303.56077,0.421894,139.740772,0.468771,2494.036038,0.703157,2166.146029,0.578151,902.166296,0.562526,298.560541,0.468771,135.66246,0.421894,5111.108958,0.65628,611.949887,0.406269,1741.314082,0.781286
304.013916,0.453146,140.25642,0.515649,2494.770447,0.734409,2174.271401,0.828163,902.80695,0.640654,298.998061,0.43752,136.09998,0.43752,5161.548767,0.671906,612.418658,0.468771,1754.408431,0.687531
304.451436,0.43752,140.69394,0.43752,2770.111176,0.562526,2175.052687,0.781286,911.322965,0.5469,299.466833,0.468771,136.553125,0.453146,5165.830213,0.609403,612.824927,0.406269,1755.095963,0.687531
304.904582,0.453146,141.178338,0.484397,2777.299005,0.625029,2175.724593,0.671906,911.869865,0.5469,304.263927,0.453146,136.97502,0.421894,5166.502118,0.671906,613.278073,0.453146,1755.783494,0.687531
305.342102,0.43752,141.631483,0.453146,2777.877156,0.578151,2176.459001,0.734409,912.401139,0.531274,304.717073,0.453146,137.428165,0.453146,5176.37757,0.718783,613.778096,0.500023,1756.533528,0.750034
305.826499,0.484397,142.11588,0.484397,2778.502185,0.625029,2177.037153,0.578151,912.963665,0.562526,305.170219,0.453146,137.881311,0.453146,5177.03385,0.65628,614.215616,0.43752,1757.283563,0.750034
306.264019,0.43752,142.569026,0.453146,2779.127213,0.625029,2177.818439,0.781286,913.510565,0.5469,305.623365,0.453146,138.303205,0.421894,5177.643253,0.609403,684.062563,0.515649,1758.174228,0.890666
306.73279,0.468771,143.069049,0.500023,2779.642862,0.515649,2178.693479,0.87504,914.073091,0.562526,310.576716,0.43752,138.756351,0.453146,5178.190153,0.5469,1679.717513,0.531274,1758.877386,0.703157
307.17031,0.43752,143.506569,0.43752,2780.252265,0.609403,2195.444245,0.671906,914.651242,0.578151,311.045488,0.468771,139.225123,0.468771,5178.783931,0.593777,1680.248788,0.531274,1759.611794,0.734409
307.639082,0.468771,144.022218,0.515649,2780.877294,0.625029,2196.116151,0.671906,915.291897,0.640654,311.483008,0.43752,139.662643,0.43752,5207.019598,0.625029,1680.889442,0.640654,1760.377454,0.76566
308.076602,0.43752,144.459738,0.43752,2781.439819,0.562526,2196.866185,0.750034,919.901483,0.609403,311.951779,0.468771,140.14704,0.484397,5207.738381,0.718783,1681.514471,0.625029,1761.080611,0.703157
308.529748,0.453146,144.975386,0.515649,2921.196217,0.65628,2197.569343,0.703157,920.557763,0.65628,312.404925,0.453146,140.568934,0.421894,5208.410287,0.671906,1682.202002,0.687531,1761.830646,0.750034
308.967268,0.43752,264.590237,0.562526,2921.836871,0.640654,2198.350628,0.781286,921.057786,0.500023,312.889322,0.484397,141.053331,0.484397,5381.168195,0.609403,1690.061737,0.625029,1762.643183,0.812537
309.404788,0.43752,295.888544,0.43752,2922.4619,0.625029,2206.007229,0.703157,921.792194,0.734409,313.326842,0.43752,141.490851,0.43752,5381.808849,0.640654,1714.437853,0.625029,1763.283837,0.640654
309.842308,0.43752,296.310439,0.421894,2923.133805,0.671906,2282.182591,0.76566,924.620449,0.562526,313.811239,0.484397,141.959623,0.468771,5382.371375,0.562526,1715.078507,0.640654,1764.033872,0.750034
310.279828,0.43752,296.763584,0.453146,2926.352703,0.734409,2282.870122,0.687531,925.1986,0.578151,314.264385,0.453146,142.381517,0.421894,5382.949526,0.578151,1715.766038,0.687531,1764.783906,0.750034
310.732974,0.453146,297.247982,0.484397,2962.635613,0.65628,2283.698285,0.828163,925.7455,0.5469,314.733157,0.468771,142.850289,0.468771,5383.496426,0.5469,1716.359816,0.593777,1793.035199,0.750034
311.186119,0.453146,297.669876,0.421894,2963.260642,0.625029,2284.510822,0.812537,926.276774,0.531274,315.186302,0.453146,143.287809,0.43752,5384.121455,0.625029,1716.969218,0.609403,1793.738356,0.703157
311.608014,0.421894,298.154273,0.484397,2971.51102,0.578151,2285.213979,0.703157,926.8393,0.562526,315.6707,0.484397,143.725329,0.43752,5384.840238,0.718783,1717.609873,0.640654,1794.504016,0.76566
312.045534,0.43752,298.52929,0.375017,2972.1673,0.65628,2285.97964,0.76566,927.417452,0.578151,316.123845,0.453146,144.162849,0.43752,5385.496518,0.65628,1718.219276,0.609403,1795.238425,0.734409
312.483054,0.43752,299.060565,0.531274,2972.792328,0.625029,2286.667171,0.687531,928.026855,0.609403,316.623868,0.500023,144.615994,0.453146,5386.074669,0.578151,1718.813053,0.593777,1864.085326,0.593777
317.358277,0.453146,299.498085,0.43752,2973.386106,0.593777,2287.323451,0.65628,931.730149,0.562526,317.108265,0.484397,145.037889,0.421894,5386.762201,0.687531,1719.453707,0.640654,1864.772858,0.687531
327.37436,0.43752,299.982482,0.484397,2974.073637,0.687531,2291.464266,0.703157,932.245798,0.515649,317.608288,0.500023,145.50666,0.468771,5387.324726,0.562526,1719.984982,0.531274,1865.460389,0.687531
327.874383,0.500023,300.373125,0.390643,2974.761168,0.687531,2292.198674,0.734409,939.761767,0.5469,318.061434,0.453146,145.94418,0.43752,6437.075903,0.65628,1720.61001,0.625029,1866.241675,0.781286
328.35878,0.484397,300.841896,0.468771,2975.417449,0.65628,2292.792451,0.593777,940.324292,0.562526,318.545831,0.484397,146.412952,0.468771,6437.607177,0.531274,1729.547919,0.593777,1929.38519,0.562526
328.843178,0.484397,301.279416,0.43752,2976.089354,0.671906,2321.903159,0.859414,940.855567,0.531274,319.014603,0.468771,146.897349,0.484397,6543.862041,0.671906,1730.157322,0.609403,2025.592719,0.750034
329.311949,0.468771,301.716936,0.43752,2976.776886,0.687531,2339.669597,0.671906,941.402467,0.5469,319.499,0.484397,147.36612,0.468771,6544.48707,0.625029,1730.829228,0.671906,2026.217748,0.625029
329.796346,0.484397,302.170082,0.453146,2977.495669,0.718783,2340.404006,0.734409,941.964993,0.562526,319.967771,0.468771,147.866143,0.500023,6545.205853,0.718783,1731.548011,0.718783,2026.874028,0.65628
330.265118,0.468771,302.591976,0.421894,2978.120697,0.625029,2341.013409,0.609403,942.480641,0.515649,320.452168,0.484397,148.35054,0.484397,6545.877758,0.671906,1732.126162,0.578151,2027.561559,0.687531
